@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,59_ionosphere,61_iris,8_liver-disorders}
@attribute tree_time numeric
@attribute naive_bayes_time numeric
@attribute stump_time numeric
@attribute nn_time numeric
@attribute simple_time numeric
@attribute statistical_time numeric
@attribute inftheo_time numeric
@attribute total_time numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
334_monks-problems-2,12.383057,133.641113,65.88623,245.907959,2.274902,116.89502,61.682861,709.203369,0.5,0.895628,0.68284,0.95099
335_monks-problems-3,8.105957,116.671143,74.400879,260.596924,9.850098,102.800781,59.843018,674.932617,0.985864,0.985864,0.982953,0.985864
40736_libras_move_v2,380.221191,2502.04248,2943.640381,435.150146,121.30957,150746.171387,1782.91333,160026.977295,0.617556,0.620407,0.530519,0.610667
12_mfeat-factors,2239.757324,45814.658691,14830.040771,3201.468994,54.208496,1506629.226318,22033.000732,1597572.604004,0.943802,0.944739,0.909429,0.940267
24_mushroom,105.5,4066.821777,1403.686768,3470.891113,5.584961,11066.8479,729.486084,22321.68335,1,1,0.993871,0.999966
1568_nursery-v3,684.93457,22772.180176,2144.380859,7759.531494,133.576416,18061.35376,1655.54834,56126.683105,0.912507,0.991365,0.671428,0.99244
28_optdigits,527.078125,11679.864746,1931.757813,3526.697021,10.710938,100126.12915,27605.362793,146381.775146,0.905887,0.905969,0.770093,0.904187
1487_ozone-level-8hr,899.279045,9187.924406,2391.562939,1647.261662,10.174455,26635.427466,9843.275741,51155.854598,0.629044,0.632743,0.604039,0.633013
40735_ozone_level_v2,914.472876,9279.750057,2395.098991,1722.073332,9.984961,26891.81132,9881.883236,51621.733545,0.583121,0.580729,0.56259,0.577613
30_page-blocks,178.115234,2205.796143,-712.574951,1499.415039,9.506836,1415.950928,4095.608887,8878.433838,0.828998,0.790987,0.75225,0.799513
1488_parkinsons,527.479248,1452.419189,5039.607666,2473.158203,97.913574,10093.523193,4206.944824,24770.395508,0.795968,0.775433,0.792063,0.825667
1489_phoneme,261.471191,3379.037842,333.623779,2997.728271,6.019287,456.14917,5280.266602,12980.069092,0.842833,0.845702,0.758835,0.842151
1491_one-hundred-plants-margin,1255.373535,9422.357666,3097.502197,882.986328,440.553955,430036.319824,5092.124023,453265.194336,0.488283,0.484083,0.0615,0.47205
1492_one-hundred-plants-shape,5961.272949,9581.958984,3313.912354,962.700684,294.927734,500650.416504,6232.734619,529285.214844,0.46015,0.455467,0.08515,0.44355
1493_one-hundred-plants-texture,297.16626,10807.43457,3337.907227,626.275391,373.180176,406187.493164,5245.144287,430056.032227,0.512417,0.51255,0.021683,0.512433
1526_wall-robot-navigation-v3,419.86084,9357.026367,934.444824,5304.003662,98.629395,2192.7229,9872.83667,28550.451904,0.99993,0.999883,1,1
