@relation R_data_frame

@attribute id {11_balance-scale,12_mfeat-factors,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1464_blood-transfusion-service-center,1465_breast-tissue,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1498_sa-heart,1499_seeds,14_mfeat-fourier,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1512_heart-long-beach,1514_micro-mass,1523_vertebra-column,1526_wall-robot-navigation-v3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,15_breast-w,164_molecular-biology-promoters,173_solar-flare,187_wine,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,307_vowel,30_page-blocks,310_mammography,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,35_dermatology,36_segment,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,448_analcatdata_boxing1,450_analcatdata_lawsuit,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,469_analcatdata_dmft,475_analcatdata_germangss,48_tae,49_heart-c,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,59_ionosphere,61_iris,8_liver-disorders}
@attribute edges numeric
@attribute degree numeric
@attribute density numeric
@attribute maxComp numeric
@attribute closeness numeric
@attribute betweenness numeric
@attribute clsCoef numeric
@attribute hubs numeric
@attribute avgPath numeric
@attribute J48.defaults.perf numeric
@attribute J48.irace.perf numeric
@attribute CART.defaults.perf numeric
@attribute CART.irace.perf numeric

@data
164_molecular-biology-promoters,453,8.54717,0.081402,53,0.000132,18.528302,0.334678,0.795089,2.425254,0.786056,0.740611,0.701667,0.729167
333_monks-problems-1,17354,62.42446,0.112477,278,0.000006,133.613309,0.178596,0.559043,1.988676,0.750711,0.959654,0.836609,0.924545
334_monks-problems-2,18396,61.21797,0.10203,395,0.000007,164.086522,0.251649,0.502673,1.997276,0.5,0.895628,0.68284,0.95099
335_monks-problems-3,19853,71.67148,0.129605,288,0.000007,120.512635,0.279444,0.555076,1.77756,0.985864,0.985864,0.982953,0.985864
40736_libras_move_v2,2477,13.761111,0.038332,24,0.000008,3.783333,0.053335,0.833733,1.807971,0.617556,0.620407,0.530519,0.610667
12_mfeat-factors,148789,148.789,0.074432,200,0,25.4565,0.089652,0.869315,1.133266,0.943802,0.944739,0.909429,0.940267
24_mushroom,0,0,0,1,0,0,1,0,0,1,1,0.993871,0.999966
1568_nursery-v3,7533800,1162.802902,0.089743,4320,0,1495.60017,0.139635,0.536939,1.736474,0.912507,0.991365,0.671428,0.99244
28_optdigits,1198782,426.612811,0.075923,572,0,67.643238,0.096625,0.875822,1.205669,0.905887,0.905969,0.770093,0.904187
1487_ozone-level-8hr,566509,447.126283,0.17652,2374,0.000002,1318.328729,0.444656,0.610732,2.181126,0.629044,0.632743,0.604039,0.633013
30_page-blocks,2410349,880.814544,0.160968,4913,0,4833.739631,0.329009,0.766805,3.185013,0.828998,0.790987,0.75225,0.799513
1488_parkinsons,2495,25.589744,0.131906,147,0.000086,101.092308,0.261527,0.715863,2.535738,0.795968,0.775433,0.792063,0.825667
1489_phoneme,1897175,702.137306,0.129953,3818,0,1579.020355,0.297209,0.689367,2.030064,0.842833,0.845702,0.758835,0.842151
1491_one-hundred-plants-margin,11756,14.695,0.00919,16,0,0.154375,0.72,0.988633,1.125,0.488283,0.484083,0.0615,0.47205
1492_one-hundred-plants-shape,10932,13.665,0.008546,16,0,0.66125,0.35,0.963659,1,0.46015,0.455467,0.08515,0.44355
1493_one-hundred-plants-texture,10471,13.096936,0.008196,16,0,1.076298,0.220138,0.944757,1,0.512417,0.51255,0.021683,0.512433
1526_wall-robot-navigation-v3,1531890,561.543255,0.102941,2205,0,862.928152,0.162918,0.757229,2.004718,0.99993,0.999883,1,1
1498_sa-heart,12586,54.484848,0.118188,302,0.000011,132.794372,0.235734,0.594436,2.056676,0.649509,0.646873,0.643778,0.632938
1499_seeds,3379,32.180952,0.153976,70,0.000034,22.252381,0.195927,0.726351,1.735818,0.916508,0.911429,0.898889,0.916984
1501_semeion,72253,90.71312,0.056981,162,0,34.037037,0.085598,0.748124,1.440457,0.756054,0.754593,0.618812,0.755566
31_credit-g,52007,104.014,0.104118,700,0.000003,928.751,0.240844,0.779652,4.132712,0.623,0.634349,0.649746,0.643667
53_heart-statlog,3933,29.133333,0.108302,150,0.000028,90.37037,0.220743,0.618714,2.362595,0.778083,0.804167,0.79925,0.787556
36_segment,214425,185.649351,0.080402,330,0,88.548485,0.132684,0.845063,1.3811,0.962182,0.961848,0.918066,0.953871
40734_satellite_image_v2,2313283,718.969075,0.111745,1533,0,288.986325,0.15928,0.831076,1.62313,0.833418,0.833306,0.789343,0.834783
54_vehicle,24543,58.021277,0.068664,218,0.000002,203.631206,0.104649,0.795105,2.971336,0.727064,0.72489,0.686933,0.712032
1504_steel-plates-fault,200065,206.146316,0.106261,1268,0.000001,931.890263,0.288079,0.721733,2.603068,1,1,1,1
48_tae,761,10.07947,0.067196,52,0.000065,49.251656,0.082628,0.675044,2.951735,0.440648,0.428241,0.405833,0.41713
40499_texture,1063243,386.633818,0.07031,500,0,61.926545,0.090497,0.919364,1.449627,0.930731,0.931504,0.811109,0.925676
1506_thoracic-surgery,15179,64.591489,0.137722,400,0.000026,288.455319,0.282766,0.710675,2.620652,0.497863,0.506804,0.49247,0.524036
40474_thyroid-allbp,352087,251.490714,0.08985,1632,0,688.311786,0.282605,0.637578,2.163629,0.455623,0.450992,0.333102,0.445691
40475_thyroid-allhyper,352087,251.490714,0.08985,1632,0,688.311786,0.282605,0.637578,2.163629,0.455623,0.450992,0.333102,0.445691
1508_user-knowledge,7261,36.034739,0.089639,129,0.000008,39.369727,0.139704,0.605075,1.75327,0.781469,0.767135,0.768985,0.761405
1523_vertebra-column,6696,43.2,0.139806,150,0.000017,43.267742,0.263128,0.661421,1.779687,0.760889,0.766074,0.779,0.768556
187_wine,1746,19.617978,0.110836,71,0.000048,53.050562,0.18209,0.806834,3.389537,0.932823,0.930442,0.882892,0.906664
40733_yeast_v7,71035,111.954295,0.088292,438,0.000001,133.240347,0.145768,0.608161,1.765702,0.621878,0.639269,0.636437,0.634751
